Source Name	Material Type	Characteristics[Organism]	Characteristics[CellLine]	Characteristics[DiseaseState]	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[CELL_LINE]
380	cell	Homo sapiens	380	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 1	P-MTAB-22739	Labeled Extract 1	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 1	A-AFFY-113	5500024035100021608461.G01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	380
697	cell	Homo sapiens	697	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 2	P-MTAB-22739	Labeled Extract 2	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 2	A-AFFY-113	5500024034290101707049.A01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	697
5637	cell	Homo sapiens	5637	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 3	P-MTAB-22739	Labeled Extract 3	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 3	A-AFFY-113	5500024052603032009483.A09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	5637
22RV1	cell	Homo sapiens	22RV1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 4	P-MTAB-22739	Labeled Extract 4	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 4	A-AFFY-113	5500024035100021608461.H01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	22RV1
23132-87	cell	Homo sapiens	23132-87	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 5	P-MTAB-22739	Labeled Extract 5	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 5	A-AFFY-113	5500024032848101507998.D02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	23132-87
639-V	cell	Homo sapiens	639-V	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 6	P-MTAB-22739	Labeled Extract 6	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 6	A-AFFY-113	5500024030401071707289.D04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	639-V
647-V	cell	Homo sapiens	647-V	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 7	P-MTAB-22739	Labeled Extract 7	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 7	A-AFFY-113	5500024030401071707289.C10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	647-V
647-V	cell	Homo sapiens	647-V	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 8	P-MTAB-22739	Labeled Extract 8	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 8	A-AFFY-113	5500024052861011409506.D05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	647-V
769-P	cell	Homo sapiens	769-P	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 9	P-MTAB-22739	Labeled Extract 9	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 9	A-AFFY-113	5500024032848101507998.E02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	769-P
786-0	cell	Homo sapiens	786-0	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 10	P-MTAB-22739	Labeled Extract 10	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 10	A-AFFY-113	5500024052861011409506.E01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.1.zip	786-0
